0,23,GLOBAL_CONFIGURATION,RW,
,[0],dit_en,enable dither at output stage,1'b1
,[4:1],out_scaler,scale value feom 1 to 8 at upsampler output stage,4'b0010
,[5],test_mode,enable test mode,1'b0
,[6],debug_bus_en,enable memory capture during test mode for band1 datapath only,1'b0
,[11:7],in_sample_db_sel,0: the first input sample; 1: the second input samples; .... 31: the 32th input samples; ,5'b00000
,[17:12],out_sample_db_sel,0: the first output samples; 1: the second output samples; .... 63: the 64th output samples; ,6'b000000
,[20:18],db_mux_sel,0: the first satge input/output; 1: the second stage input/output; .... 7: the 8th stage input/output; ,3'b000
,[21],duc_bypass,1: bypass duc function 0: disable bypass,1'b0
,[22],duc_bypass_par,1: inverted data 0: raw data,1'b0

1,8,BAND1_CONFIGURATION,RW,
,[0],band1_en,enable adc dap band1,1'b0
,[4:1],band1_rate_mode,0000: 0.25GS/s; 0001: 0.5GS/s; 0010: 1GS/s; 0011: 2GS/s; 0100: 4GS/s,4'b0000
,[7:5],band1_freq_sel,000: freq1; 001: freq2; 010: freq3; 011: freq4; 100: freq5; 101: freq6; 110: freq7; 111: freq8,3'b000

2,8,BAND2_CONFIGURATION,RW,
,[0],band2_en,enable adc dap band2,1'b0
,[4:1],band2_rate_mode,0000: 0.25GS/s; 0001: 0.5GS/s; 0010: 1GS/s; 0011: 2GS/s; 0100: 4GS/s,4'b0000
,[7:5],band2_freq_sel,000: freq1; 001: freq2; 010: freq3; 011: freq4; 100: freq5; 101: freq6; 110: freq7; 111: freq8,3'b000

3,5,GLOBAL_SEED_CONFIGURATION,RW,
,[4:0],out_stage_seed,unique seed for random number generator prior to the output stage filter,5'b01001

4,30,BAND1_FILTER_SEED_CONFIGURATION1,RW,
,[4:0],band1_seed_fil1,unique seed for random number generation for band1 filter 1,5'b00001
,[9:5],band1_seed_fil2,unique seed for random number generation for band1 filter 2,5'b00010
,[14:10],band1_seed_fil3,unique seed for random number generation for band1 filter 3,5'b00011
,[19:15],band1_seed_fil4,unique seed for random number generation for band1 filter 4,5'b00100
,[24:20],band1_seed_fil5a,unique seed for random number generation for band1 filter 5a,5'b00101
,[29:25],band1_seed_fil5b,unique seed for random number generation for band1 filter 5b,5'b00110

5,30,BAND2_FILTER_SEED_CONFIGURATION1,RW,
,[4:0],band2_seed_fil1,unique seed for random number generation for band2 filter 1,5'b10001
,[9:5],band2_seed_fil2,unique seed for random number generation for band2 filter 2,5'b10010
,[14:10],band2_seed_fil3,unique seed for random number generation for band2 filter 3,5'b10011
,[19:15],band2_seed_fil4,unique seed for random number generation for band2 filter 4,5'b10100
,[24:20],band2_seed_fil5a,unique seed for random number generation for band2 filter 5a,5'b10101
,[29:25],band2_seed_fil5b,unique seed for random number generation for band2 filter 5b,5'b10100

6,30,BAND1_FILTER_SEED_CONFIGURATION2,RW,
,[4:0],band1_seed_fil6a,unique seed for random number generation for band1 filter 6a,5'b11110
,[9:5],band1_seed_fil6b,unique seed for random number generation for band1 filter 6b,5'b11101
,[14:10],band1_seed_fil7a,unique seed for random number generation for band1 filter 7a,5'b11100
,[19:15],band1_seed_fil7b,unique seed for random number generation for band1 filter 7b,5'b11011
,[24:20],band1_seed_fil8a,unique seed for random number generation for band1 filter 8a,5'b11010
,[29:25],band1_seed_fil8b,unique seed for random number generation for band1 filter 8b,5'b11001

7,30,BAND2_FILTER_SEED_CONFIGURATION2,RW,
,[4:0],band2_seed_fil6a,unique seed for random number generation for band2 filter 6a,5'b01110
,[9:5],band2_seed_fil6b,unique seed for random number generation for band2 filter 6b,5'b01101
,[14:10],band2_seed_fil7a,unique seed for random number generation for band2 filter 7a,5'b01100
,[19:15],band2_seed_fil7b,unique seed for random number generation for band2 filter 7b,5'b01011
,[24:20],band2_seed_fil8a,unique seed for random number generation for band2 filter 8a,5'b01010
,[29:25],band2_seed_fil8b,unique seed for random number generation for band2 filter 8b,5'b01001

8,32,BAND1_FREQUENCY1,RW,
,[31:0],band1_freq1,Band1 frequency1,32'h00000000

9,32,BAND2_FREQUENCY1,RW,
,[31:0],band2_freq1,Band2 frequency1,32'h00000000

10,32,BAND1_FREQUENCY2,RW,
,[31:0],band1_freq2,Band1 frequency2,32'h00000000

11,32,BAND2_FREQUENCY2,RW,
,[31:0],band2_freq2,Band2 frequency2,32'h00000000

12,32,BAND1_FREQUENCY3,RW,
,[31:0],band1_freq3,Band1 frequency3,32'h00000000

13,32,BAND2_FREQUENCY3,RW,
,[31:0],band2_freq3,Band2 frequency3,32'h00000000

14,32,BAND1_FREQUENCY4,RW,
,[31:0],band1_freq4,Band1 frequency4,32'h00000000

15,32,BAND2_FREQUENCY4,RW,
,[31:0],band2_freq4,Band2 frequency4,32'h00000000

16,32,BAND1_FREQUENCY5,RW,
,[31:0],band1_freq5,Band1 frequency5,32'h00000000

17,32,BAND2_FREQUENCY5,RW,
,[31:0],band2_freq5,Band2 frequency5,32'h00000000

18,32,BAND1_FREQUENCY6,RW,
,[31:0],band1_freq6,Band1 frequency6,32'h00000000

19,32,BAND2_FREQUENCY6,RW,
,[31:0],band2_freq6,Band2 frequency6,32'h00000000

20,32,BAND1_FREQUENCY7,RW,
,[31:0],band1_freq7,Band1 frequency7,32'h00000000

21,32,BAND2_FREQUENCY7,RW,
,[31:0],band2_freq7,Band2 frequency7,32'h00000000

22,32,BAND1_FREQUENCY8,RW,
,[31:0],band1_freq8,Band1 frequency8,32'h00000000

23,32,BAND2_FREQUENCY8,RW,
,[31:0],band2_freq8,Band2 frequency8,32'h00000000

24,32,BAND1_INITIAL_PHASE1,RW,
,[31:0],band1_init_phase1,Band1 initial phase1,32'h00000000

25,32,BAND2_INITIAL_PHASE1,RW,
,[31:0],band2_init_phase1,Band2 initial phase1,32'h00000000

26,32,BAND1_INITIAL_PHASE2,RW,
,[31:0],band1_init_phase2,Band1 initial phase2,32'h00000000

27,32,BAND2_INITIAL_PHASE2,RW,
,[31:0],band2_init_phase2,Band2 initial phase2,32'h00000000

28,32,BAND1_INITIAL_PHASE3,RW,
,[31:0],band1_init_phase3,Band1 initial phase3,32'h00000000

29,32,BAND2_INITIAL_PHASE3,RW,
,[31:0],band2_init_phase3,Band2 initial phase3,32'h00000000

30,32,BAND1_INITIAL_PHASE4,RW,
,[31:0],band1_init_phase4,Band1 initial phase4,32'h00000000

31,32,BAND2_INITIAL_PHASE4,RW,
,[31:0],band2_init_phase4,Band2 initial phase4,32'h00000000

32,32,BAND1_INITIAL_PHASE5,RW,
,[31:0],band1_init_phase5,Band1 initial phase5,32'h00000000

33,32,BAND2_INITIAL_PHASE5,RW,
,[31:0],band2_init_phase5,Band2 initial phase5,32'h00000000

34,32,BAND1_INITIAL_PHASE6,RW,
,[31:0],band1_init_phase6,Band1 initial phase6,32'h00000000

35,32,BAND2_INITIAL_PHASE6,RW,
,[31:0],band2_init_phase6,Band2 initial phase6,32'h00000000

36,32,BAND1_INITIAL_PHASE7,RW,
,[31:0],band1_init_phase7,Band1 initial phase7,32'h00000000

37,32,BAND2_INITIAL_PHASE7,RW,
,[31:0],band2_init_phase7,Band2 initial phase7,32'h00000000

38,32,BAND1_INITIAL_PHASE8,RW,
,[31:0],band1_init_phase8,Band1 initial phase8,32'h00000000

