# ==================================================================================
# F1000 GF SRAM Memory Parameters registers
#
#
# 
# ==================================================================================
0,7,SRAM_SHARE_BITS,RW,
,[6:0],share_bits,7-Bit SRAM shared config bits.,7'b0010100

1,11,IRAM_CONFIG_0,RW,
,[10:0],iram_cfg_0,GF Memory config bits,11'h000

2,11,IRAM_CONFIG_1,RW,
,[10:0],iram_cfg_1,GF Memory config bits,11'h000

3,11,IRAM_CONFIG_2,RW,
,[10:0],iram_cfg_2,GF Memory config bits,11'h000

4,11,IRAM_CONFIG_3,RW,
,[10:0],iram_cfg_3,GF Memory config bits,11'h000

5,11,IRAM_CONFIG_4,RW,
,[10:0],iram_cfg_4,GF Memory config bits,11'h000

6,11,IRAM_CONFIG_5,RW,
,[10:0],iram_cfg_5,GF Memory config bits,11'h000

7,11,IRAM_CONFIG_6,RW,
,[10:0],iram_cfg_6,GF Memory config bits,11'h000

8,11,IRAM_CONFIG_7,RW,
,[10:0],iram_cfg_7,GF Memory config bits,11'h000

9,11,DRAM_CONFIG_0,RW,
,[10:0],dram_cfg_0,GF Memory config bits,11'h000

10,11,DRAM_CONFIG_1,RW,
,[10:0],dram_cfg_1,GF Memory config bits,11'h000

11,11,DRAM_CONFIG_2,RW,
,[10:0],dram_cfg_2,GF Memory config bits,11'h000

12,11,DRAM_CONFIG_3,RW,
,[10:0],dram_cfg_3,GF Memory config bits,11'h000

