0,15,FRAMER_CONTROLLER_CONTROL,RW,
,[9:0],few_num_entries_minus_1,RISC-V writes the number of FEW entries minus 1 in the MICROCODE_SRAM,10'h0
,[10],sw_rst_n,Active-Low SOFTWARE RESETn - RISC-V resets Controller only - Chip wakes up with SOFTWARE RESET OFF,1'b1
,[11],sw_enable,SOFTWARE MAIN FSM Enable - RISC-V resets this Framer Controller only - Chip wakes up with SOFTWARE Enable OFF,1'b0
,[12],disable_lmfc_sync,Disables the initial 2 LMFC pulse synchronization for IDLE to RUN FSM transition.,1'b0
,[13],wr_microcode,RISC-V writes microcode as a FEW entry-the systemverilog code for this is massaged with a script to yield a D-FLIP-FLOP that will capture the wr_microcode pulse,1'b0
,[14],enable_lmfc_count,Enable 8-bit LMFC counte.r,1'b0

1,28,FRAMER_CONTROLLER_STATUS,RO,
,[0],config_complete,Indicates MICROCODE_SRAM configuration is complete,
,[1],config_active,Indicates MICROCODE_SRAM configuration is on-going,
,[2],invalid_few_num_entries_err_bit,ERROR: Indicates FEW number of entries is invalid,
,[6:3],main_fsm_state,Main FSM State,
,[10:7],cfg_fsm_state,Config FSM State,
,[20:11],few_counter,1st loaded with few_num_entries_minus_1-then counts down,
,[21],nop_active, HIGH during NOP execution,
,[22],wait_active, HIGH during WAIT execution,
,[23],fst_wait_complete,HIGH after 1st WAIT has completed,
,[24],freeze_pc, PC is frozen,
,[25],stack_overflow_err_bit,A stack overflow condition occurred.,
,[26],stack_underflow_err_bit,A stack underflow condition occurred.,
,[27],pc_out_of_bounds,Sticky bit that indicates PC is out of bounds.,

# ============================================
# Trigger modes:
#   0:  Disabled
#   1:  Trigger single ETB capture if trigger_count_match
#   2:  Trigger ETB capture stop if trigger_count_match
#   3:  Trigger ETB capture mid-point
#   4:  HW Addr LSW
#   5:  HW Addr MSW
#   6:  HW Addr LSW if break_count_match
#   7:  HW Addr MSW if break_count_match
#
# ============================================
2,31,TRIGGER_CONTROL,RW,
,[7:0],trigger1_count,Number of times HW/SW break must occur or LMFC count/CMP count match must occur before trigger occurs.,8'h0
,[15:8],trigger2_count,Number of times HW/SW break must occur or LMFC count/CMP count match must occur before trigger occurs.,8'h0
,[17:16],trigger1_count_mode,Mode for trigger1_count value: 00: HW/SW break match count==break_count  01: lmfc_count==break_count  10: Match count=break_count.,2'h0
,[19:18],trigger2_count_mode,Mode for trigger1_count value: 00: HW/SW break match count==break_count  01: lmfc_count==break_count  10: Match count=break_count.,2'h0
,[22:20],trigger1_mode,Trigger 1 operation mode.,2'h0
,[25:23],trigger2_mode,Trigger 2 operation mode.,2'h0
,[26],enable_trigger_chain,Enables trigger chain - Trigger 1 triggers Trigger 2.,1'b0
,[27],trigger1_trace_en,Enable Trigger 1 for trace operation,1'b0
,[28],trigger2_trace_en,Enable Trigger 2 for trace operation,1'b0
,[29],trigger1_break_en,Enable Trigger 1 for break operation,1'b0
,[30],trigger2_break_en,Enable Trigger 2 for break operation,1'b0

3,32,WR_MICROCODE_REG_2,RW,
,[31:0],wr_microcode_reg_2,MSB of the register used for loading FEW into the MICROCODE SRAM,32'h0000000

4,32,WR_MICROCODE_REG_1,RW,
,[31:0],wr_microcode_reg_1,Next to MSB of the register used for loading FEW into the MICROCODE SRAM,32'h00000000

5,32,WR_MICROCODE_REG_0,RW,
,[31:0],wr_microcode_reg_0,Next to MSB of the register used for loading FEW into the MICROCODE SRAM,32'h00000000

6,12,MICROCODE_SRAM_BYTE_WRITE_MASK,RW,
