0,28,RX_LINK_CONFIG,RW,
,[0],sw_rst_n,SOFTWARE RESETn-RISC-V resets FRAMER Only-Chip wakes up with SOFTWARE RESET OFF,1'b1
,[5:1],frame_size,RX Link number of octets per frame (F) minus 1.,5'd23
,[9:6],multiframe_size,RX Link number of frames per multi frame (K) minus 1.,4'd15
,[10],subclass,Subclass 0 or Subclass 1 selection.,1'b1
,[11],disable_reconfig,Disable lane dynamic reconfig from ILAS configuration.,1'b1
,[12],disable_sysref_monitor,Disable error count of periodic SYSREF misalignment.,1'b0
,[13],disable_sysref_realign,Disable periodic SYSREF realignment.,1'b1
,[14],force_resync,Forcefully issue a link re-synchronization on all RX lanes.,1'b0
,[15],hw_enable_framer_controller,This allow all lanes to be enabled at the same time for synchronization,1'b0
,[16],shift_ping_pong,shifts ping_pong signal by 1 cycle for the sake of alignment,1'b0
,[20:17],rd_ll2tl_fifo_threshold,Threshold for reading the LL2TL_FIFO.,4'd8
,[23:21],lane_clk_sel,Link layer main clock selection,3'h0
,[24],en_rx2tx_lpbk,Enable the 10-bit RX data per lane to be looped back FROM RX to the TX.,1'b0
,[25],en_tx2rx_lpbk,Enable the 10-bit TX data per lane to be looped back FROM TX to the RX.,1'b0
,[26],sel_cdr_data4lpbk,Select RX_CDR output data for loopback.,1'b1
,[27],byte_swap,Swap MSB / LSB byte positions when combining link layer data to 16-bit framer data.,1'b0

1,10,RX_LINK_ENABLE,RW,
,[0],link0_enable,Link enable for Link 0,1'b1
,[1],link1_enable,Link enable for Link 1,1'b0
,[2],rx_enable,RX Path global enable,1'b1
,[3],dual_link,Enable bit for dual link mode.,1'b0
,[4],link0_en_sync_from_rx_sync,Use sync_n from the rx_sync block to drive link0 rx_sync_n.,1'b1
,[5],link0_man_misalign_sync,Use manual misaligned sync_n to drive link0 rx_sync_n.,1'b0
,[6],link0_man_align_sync,Use manual sync_n aligned to frame boundary to drive link0 rx_sync_n.,1'b0
,[7],link1_en_sync_from_rx_sync,Use sync_n from the rx_sync block to drive link1 rx_sync_n.,1'b1
,[8],link1_man_misalign_sync,Use manual misaligned sync_n to drive link1 rx_sync_n.,1'b0
,[9],link1_man_align_sync,Use manual sync_n aligned to frame boundary to drive link1 rx_sync_n.,1'b0

2,16,RX_COMMA_CONFIG,RW,
,[7:0],lock_threshold,Successive /K/ (comma) symbols for CGS lock minus 1.,8'h3
,[15:8],resync_threshold,Number of received /K/ (comma) symbols in data state for resync minus 1.,8'h5

3,8,RX_ALIGN_CONFIG,RW,
,[7:0],sysref_align_delay,Number of clocks to delay from SYSREF to LMFC.,8'h1

4,16,RX_CGS_CONFIG,RW,
,[7:0],rx_cgs_check_clr_count,Symbol count prior to clearing errors after CHECK state.,8'h8
,[8],rx_cgs_fsm_disable,Disable the RX CGS FSM for all lanes.,1'b0
,[15:9],rx_resync_delay,Number of FCLK periods to delay after re-sync prior to CGS retry.,8'hf

5,16,RX_SYSREF_MISALIGN_COUNT,RO,
,[15:0],sysref_misalign_cnt,Count of SYSREF to LMFC misalignment errors detected.,

6,8,RX_LANE_ENABLE,RW,
,[7:0],rx_lane_enable,Enable bits for RX Lanes.,8'h0

7,18,RX_ILAS_CONFIG,RW,
