0,32,ADC_SAT_LANE1_INIT_MASK,RW,
,[15:0],adc_sat_lane1_init_mask,Initial Saturation Bit OR vector bit mask for Lane 1 Mode 0-2,16'h0001
,[31:16],adc_sat_lane1_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 1 Mode 3,16'h0001

1,32,ADC_SAT_LANE2_INIT_MASK,RW,
,[15:0],adc_sat_lane2_init_mask,Initial Saturation Bit OR vector bit mask for Lane 2 Mode 0-2,16'h0001
,[31:16],adc_sat_lane2_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 2 Mode 3,16'h0002

2,32,ADC_SAT_LANE3_INIT_MASK,RW,
,[15:0],adc_sat_lane3_init_mask,Initial Saturation Bit OR vector bit mask for Lane 3 Mode 0-2,16'h0002
,[31:16],adc_sat_lane3_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 3 Mode 3,16'h0004

3,32,ADC_SAT_LANE4_INIT_MASK,RW,
,[15:0],adc_sat_lane4_init_mask,Initial Saturation Bit OR vector bit mask for Lane 4 Mode 0-2,16'h0002
,[31:16],adc_sat_lane4_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 4 Mode 3,16'h0008

4,32,ADC_SAT_LANE5_INIT_MASK,RW,
,[15:0],adc_sat_lane5_init_mask,Initial Saturation Bit OR vector bit mask for Lane 5 Mode 0-2,16'h0004
,[31:16],adc_sat_lane5_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 5 Mode 3,16'h0010

5,32,ADC_SAT_LANE6_INIT_MASK,RW,
,[15:0],adc_sat_lane6_init_mask,Initial Saturation Bit OR vector bit mask for Lane 6 Mode 0-2,16'h0004
,[31:16],adc_sat_lane6_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 6 Mode 3,16'h0020

6,32,ADC_SAT_LANE7_INIT_MASK,RW,
,[15:0],adc_sat_lane7_init_mask,Initial Saturation Bit OR vector bit mask for Lane 7 Mode 0-2,16'h0008
,[31:16],adc_sat_lane7_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 7 Mode 3,16'h0040

7,32,ADC_SAT_LANE8_INIT_MASK,RW,
,[15:0],adc_sat_lane8_init_mask,Initial Saturation Bit OR vector bit mask for Lane 8 Mode 0-2,16'h0008
,[31:16],adc_sat_lane8_init_mask_mode3,Initial Saturation Bit OR vector bit mask for Lane 8 Mode 3,16'h0080

8,12,ADC_SAT_SHIFT_CTRL_LANE_1,RW,
,[2:0],adc_sat_lane1_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 1 Mode 0,3'h3
,[5:3],adc_sat_lane1_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 1 Mode 1,3'h1
,[8:6],adc_sat_lane1_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 1 Mode 2,3'h0
,[11:9],adc_sat_lane1_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 1 Mode 3,3'h7

9,12,ADC_SAT_SHIFT_CTRL_LANE_2,RW,
,[2:0],adc_sat_lane2_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 2 Mode 0,3'h3
,[5:3],adc_sat_lane2_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 2 Mode 1,3'h1
,[8:6],adc_sat_lane2_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 2 Mode 2,3'h0
,[11:9],adc_sat_lane2_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 2 Mode 3,3'h7

10,12,ADC_SAT_SHIFT_CTRL_LANE_3,RW,
,[2:0],adc_sat_lane3_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 3 Mode 0,3'h3
,[5:3],adc_sat_lane3_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 3 Mode 1,3'h1
,[8:6],adc_sat_lane3_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 3 Mode 2,3'h0
,[11:9],adc_sat_lane3_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 3 Mode 3,3'h7

11,12,ADC_SAT_SHIFT_CTRL_LANE_4,RW,
,[2:0],adc_sat_lane4_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 4 Mode 0,3'h3
,[5:3],adc_sat_lane4_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 4 Mode 1,3'h1
,[8:6],adc_sat_lane4_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 4 Mode 2,3'h0
,[11:9],adc_sat_lane4_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 4 Mode 3,3'h7

12,12,ADC_SAT_SHIFT_CTRL_LANE_5,RW,
,[2:0],adc_sat_lane5_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 5 Mode 0,3'h3
,[5:3],adc_sat_lane5_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 5 Mode 1,3'h1
,[8:6],adc_sat_lane5_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 5 Mode 2,3'h0
,[11:9],adc_sat_lane5_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 5 Mode 3,3'h7

13,12,ADC_SAT_SHIFT_CTRL_LANE_6,RW,
,[2:0],adc_sat_lane6_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 6 Mode 0,3'h3
,[5:3],adc_sat_lane6_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 6 Mode 1,3'h1
,[8:6],adc_sat_lane6_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 6 Mode 2,3'h0
,[11:9],adc_sat_lane6_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 6 Mode 3,3'h7

14,12,ADC_SAT_SHIFT_CTRL_LANE_7,RW,
,[2:0],adc_sat_lane7_shift_0,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 7 Mode 0,3'h3
,[5:3],adc_sat_lane7_shift_1,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 7 Mode 1,3'h1
,[8:6],adc_sat_lane7_shift_2,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 7 Mode 2,3'h0
,[11:9],adc_sat_lane7_shift_3,ADC Saturation Bit OR vector shift distance (minus 1) for Lane 7 Mode 3,3'h7

