0,28,TX_LINK_CONFIG,RW,
,[0],sw_rst_n,SOFTWARE RESETn-RISC-V resets FRAMER Only-Chip wakes up with SOFTWARE RESET OFF,1'b1
,[5:1],frame_size,TX Link number of octets per frame (F) minus 1.,5'd23
,[9:6],multiframe_size,TX Link number of frames per multiframe (K) minus 1.,4'd15
,[10],subclass,Subclass 0 or Subclass 1 selection.,1'b1
,[11],disable_sysref_monitor,Disable error count of periodic SYSREF misalignment.,1'b0
,[12],disable_sysref_realign,Disable periodic SYSREF realignment.,1'b1
,[13],force_resync,Forcefully issue a link re-synchronization on all TX lanes.,1'b0
,[15:14],extra_mframes_after_sync,# of multi-frames of /K/ beyond SYNC~,2'h0
,[16],hw_enable_framer_controller,Enable bit to syncronize start of all framers.,1'b0
,[17],shift_ping_pong,Bit to change LSB/MSB relationship of ping_pong buffer.,1'b0
,[21:18],rd_tl2ll_fifo_threshold,Threshold for reading the TL2LL_FIFO.,4'd8
,[22],en_rx2tx_lpbk,Enable the 10-bit RX data per lane to be looped back FROM RX to the TX.,1'b0
,[23],sw_rst_n_rx2tx_lpbk_fifo,SOFTWARE RESETn of rx2tx_lpbk_fifo.,1'b1
,[24],en_tx2rx_lpbk,Enable the 10-bit TX data per lane to be looped back FROM TX to the RX.,1'b0
,[25],sw_rst_n_tx2rx_lpbk_fifo,SOFTWARE RESETn of tx2rx_lpbk_fifo.,1'b1
,[26],tx_pol,TX Polarity 1-generated pattern is inverted 0-generated pattern is not inverted,1'b0
,[27],byte_swap,Swap HI / LO byte out from TL2LL FIFO prior to sending to Link Layer,1'b0

1,2,TX_LINK_ENABLE,RW,
,[0],link0_enable,Link enable for Link 0,1'b1
#,[1],link1_enable,Link enable for Link 1,1'b0
,[1],tx_enable,TX Path global enable,1'b1

2,16,TX_SYSREF_MISALIGN_COUNT,RO,
,[15:0],sysref_misalign_cnt,Count of SYSREF to LMFC misalignment errors detected.,

3,8,TX_LANE_ENABLE,RW,
,[7:0],tx_lane_enable,Enable bits for TX Lanes.,8'h00

4,3,TX_SCRAMBLE_CONFIG,RW,
,[0],tx_scramble,Force the scrambler on in the TX block.,1'b0
,[1],tx_early_sync,Enable early synchronization of the scrambler.,1'b1
,[2],tx_allow_cfg_scr,Allow ILAS config to set scramble mode.,1'b1

5,24,TX_DEBUG,RW,
,[0],rnd_en,rnd_en for transport layer.,1'b0
,[1],short_test_en,Transport Layer Short Test Enable.,1'b0
,[2],debug_mode,DEBUG Mode,1'b0
,[3],inject_adc_sample,Inject ADC Samples to Transport Layer,1'b0
,[6:4],sel_linklayer_in,Select what linklayer_in is MUXed to link_layer_in_2_reg,3'b000
,[14:7],manual_tx_goto_data,Manual TX lane mode goto data state enables,8'h00
,[23:15],manual_tx_early_release_cnt,Manual TX data state early FIFO release count (clocks),9'd8

6,4,TX_FCLK_STATUS,RO, 
,[0],fclk_lmfc_aligned,Indicates LMFC is aligned.,
,[3:1],tx_sync_n,Current status of tx_sync_n pins.,

7,29,TX_CGS_ILAS_CONFIG_1,RW,
,[7:0],ilas_mframes,Number of multiframes in the ILAS align stage minus 1.,3'h3
,[10:8],ilas_dummy_data_option,Option for ILAS dummy data.,3'h0
,[18:11],fclks_between_ilas_and_sync_n,Number of FCLKs between ILAS & SYNC~ inactive.,8'h0
